batter,season,clutch,balls
DA Warner,2016,3.552179768681526,617
Sikandar Raza,2023/24,3.414406929165125,414
Karanbir Singh,2025,3.4068995825655293,660
V Suryavanshi,2026,3.342402085661888,371
DA Miller,2013,2.6098807882517576,303
D Brevis,2025,2.5905941082164645,302
ML Hayden,2009,2.5448331385850906,351
RR Pant,2019,2.472092052921653,350
Sami Sohail,2025,2.4695349903195165,427
Bilal Zalmai,2025,2.448184502311051,460
KL Rahul,2019/20,2.3006956577301025,408
N Pooran,2023,2.2896479442715645,314
KL Rahul,2018,2.2875673826783895,511
TM Head,2024,2.261934779584408,525
SA Yadav,2020/21,2.2352807223796844,390
AB de Villiers,2016,2.1679148599505424,413
RG Mukasa,2023,2.1530067585408688,353
GJ Maxwell,2014,2.133843496441841,312
SS Iyer,2025,2.131730154156685,344
J Baker,2025,2.1288057090714574,457
Asif Ali,2025,2.1267382726073265,344
YBK Jaiswal,2023,2.089142364449799,520
Tilak Varma,2023,2.068916780874133,395
RV Uthappa,2014,2.027897819876671,485
CH Gayle,2015,1.9535160306841135,339
CH Gayle,2012,1.9313724860548973,583
MEK Hussey,2013,1.913926050066948,580
SA Yadav,2022,1.9074733005836606,537
Mohammad Rizwan,2021/22,1.8874736279249191,472
SS Iyer,2026,1.8684146385639906,412
PD Salt,2024,1.801804430782795,436
JC Buttler,2018,1.7921526245772839,428
Virandeep Singh,2025,1.7401104494929314,329
S Davizi,2022,1.7392655909061432,414
Sohail Ahmed,2022/23,1.7126953778788447,419
Babar Azam,2018/19,1.7070404142141342,355
RK Singh,2023,1.6999228121712804,367
AM Rahane,2015,1.6984040085226297,462
Abhishek Sharma,2025,1.6969660120084882,403
V Kohli,2026,1.695736140012741,423
P Nissanka,2025,1.6706294110044837,309
P Simran Singh,2026,1.6504932614043355,316
Sahibzada Farhan,2025/26,1.648857330903411,484
V Kohli,2015/16,1.6449364721775055,488
Waseem Muhammad,2021/22,1.6206113249063492,305
RR Pant,2018,1.5986159332096577,364
GA Priandana,2025/26,1.5918098138645291,382
GJ Maxwell,2021,1.5825382769107819,373
DR Smith,2014,1.5798486648127437,431
S Dhawan,2020/21,1.5426363488659263,510
CH Gayle,2011,1.5291279563680291,330
K Kadowaki-Fleming,2024,1.5146463364362717,313
AB de Villiers,2015,1.466733098961413,326
KC Sangakkara,2009/10,1.4460554160177708,332
G Gambhir,2012,1.4394167214632034,443
Q de Kock,2021,1.4362441878765821,608
TM Dilshan,2009,1.4327215254306793,612
JP Duminy,2014,1.430091523565352,306
R Parag,2024,1.4246327057480812,460
DS Airee,2021/22,1.4176151864230633,414
E Lewis,2018,1.3990844935178757,322
SR Watson,2013,1.3894127402454615,415
SK Raina,2017,1.3741815630346537,310
A Sharafu,2025/26,1.3444046806544065,352
