batter,clutch,balls
V Kohli,12.237227210804122,9936
GJ Maxwell,10.63939309027046,3608
CH Gayle,9.975560583145125,4747
AB de Villiers,9.934087725356221,4597
SA Yadav,9.597855979576707,5075
JC Buttler,9.531601806171238,5851
RG Sharma,8.409146619902458,8506
SK Raina,7.640141369774938,5310
V Sehwag,7.580160704441369,2061
DA Warner,7.551386598497629,6927
Karanbir Singh,6.820920156256761,1392
TH David,6.366350444994168,1700
MR Marsh,6.12359016481787,2873
DA Miller,6.029142687038984,4402
Tilak Varma,5.676698363386095,2408
Q de Kock,5.629794907814357,4657
SS Iyer,5.596474539488554,4062
KA Pollard,5.557740072690649,3496
S Sesazi,5.496388744562864,1615
AD Russell,5.46834470515023,2183
KL Rahul,5.360939550213516,5790
N Pooran,5.307953999465099,3186
YK Pathan,4.971402673982084,2450
RR Pant,4.890012990683317,3581
Waseem Muhammad,4.751270160079002,1835
K Kadowaki-Fleming,4.749692973680794,1308
YBK Jaiswal,4.598371697589755,2121
Faisal Khan,4.564988544210792,851
Babar Azam,4.551224783062935,3597
SR Watson,4.541306628845632,3888
Shubman Gill,4.500712800800102,3856
Sikandar Raza,4.463556989067001,2049
Syed Aziz,4.460185679607093,1922
HAM Shah,4.413381644524634,1126
F du Plessis,4.350344312406378,4649
Abhishek Sharma,4.272351854451699,2308
MJ Guptill,4.217990885488689,2642
Bilal Zalmai,4.2076257141307,1013
K Bhurtel,4.112492109648883,1687
AJ Finch,4.111342185206013,3845
V Suryavanshi,4.056150913238525,500
S Dhawan,4.0382245648652315,6683
KD Karthik,4.0249763913452625,4086
FH Allen,3.8868241980380844,1103
Virandeep Singh,3.824511466547847,2422
Taranjeet Singh,3.7885043006390333,886
HG Munsey,3.7490678066387773,1763
KP Pietersen,3.7401316361501813,1536
Asif Ali,3.725390192150371,1355
Shahid Afridi,3.661318400874734,1168
DS Airee,3.631684218533337,1545
RR Patel,3.5530460961163044,1178
JP Inglis,3.493329574353993,971
H Klaasen,3.472698788973503,2018
AD Hales,3.4361255513504148,1583
R Satheesan,3.351547146216035,1046
RV Uthappa,3.2769775372289587,4070
Meet Bhavsar,3.276708004064858,1264
Mohammad Rizwan,3.237744703888893,2729
AR Patwa,3.2372897873283364,970
ML Hayden,3.160700723528862,998
TP Ura,3.157257515907986,1011
Luqman Butt,3.141104889131384,680
Mohammad Ihsan,3.1378737883933354,442
A Sharafu,3.10302240026067,1320
J Baker,3.0340015636757016,799
Adil Butt,3.0309264446841553,507
EJG Morgan,3.0105247627361678,2834
DR Smith,2.9863893231668044,2255
SV Samson,2.9554852349683642,4658
PD Salt,2.832036350853741,1793
Sami Sohail,2.8022353173873853,1005
JA Morkel,2.7850073474110104,1044
MWR Stokes,2.7671371400356293,709
JM Bairstow,2.7447686679661274,2396
AS Samra,2.742494525387883,476
Zeeshan Ali,2.735816118278308,1148
MEK Hussey,2.7329968735575676,2135
MG Erasmus,2.7179825231723953,1677
V Ravindran,2.6526352605142165,581
KC D'Souza,2.6267675291746855,336
Faheem Nazir,2.600175639614463,525
RA Tripathi,2.5865415465377737,1755
E Lewis,2.581775737024145,1514
R Powell,2.533512800873723,2039
KJ Stagno,2.4960489505610894,413
P Khadka,2.4510272434563376,560
A Mundra,2.419258141890168,485
Sohail Ahmed,2.397448943927884,1543
PV Vuniwaqa,2.3705718060955405,372
D Brevis,2.312637853436172,844
JW Jenner,2.2848707865923643,918
MDKJ Perera,2.2705798791721463,1662
S Dube,2.2574857195140794,2203
GA Priandana,2.1880263844504952,1576
SO Hetmyer,2.18545687009464,2160
Sarfaraz Ali,2.1714745862409472,524
F Damiao Couana,2.1325314361893106,450
G Stewart,2.1313768700056244,343
Abdul Waheed,2.1212302251078654,945
N Rana,2.111517866171198,2322
Musaddiq Ahmed,2.0964843463152647,371
Saber Zakhil,2.0929314717650414,461
Asif Khan,2.076515864551766,901
BA Stokes,2.0605509001761675,1141
JP Duminy,2.0518254674971104,3101
RD Gaikwad,2.039176185586257,2570
S Davizi,2.029559813439846,682
SR Tendulkar,2.0275517888367176,2057
TM Head,2.0193840386345983,1761
Sahil Chauhan,2.0174900153651834,303
Fakhar Zaman,1.9851715881377459,1838
II Selemani,1.9757088692858815,992
TL Seifert,1.9708652776025701,1536
E Dusingizimana,1.9576080152473878,758
Bilal Tahir,1.9546651430428028,532
DPMD Jayawardene,1.9449283303983975,2463
Aqib Ilyas,1.919584196060896,1028
JJ Smit,1.9012292362749577,852
RD Rickelton,1.8933077417314053,957
Zubaidi Zulkifle,1.8759042276069522,729
R Tewatia,1.8734348770522047,986
SPD Smith,1.867556276731193,2833
Riazat Ali Shah,1.8659660601988435,1149
KJ O'Brien,1.8657601047016215,1207
Babar Hayat,1.8520621843344998,1801
RG Mukasa,1.827204940840602,821
Imran Nazir,1.8247831165790558,377
Shadab Khan,1.7842840291268658,618
A Symonds,1.7730878796137404,985
BN Cooper,1.7413535275845788,899
Hamza Khan,1.7399445278279018,747
R Parag,1.7398844584531616,1429
Ashutosh Sharma,1.6874959729902912,328
Ahmer Bin Nisar,1.686072583310306,1066
CV Anto,1.666965533979237,602
Anshuman Rath,1.6417706301435828,1766
BKG Mendis,1.63699476790498,1902
E Chigumbura,1.6325215761607978,518
DJG Sammy,1.621539657964604,652
NLTC Perera,1.6011808766052127,1068
C Green,1.5967988474585582,1139
HH Pandya,1.585758647910552,3656
T Manders,1.575832825154066,605
D Norotam,1.571237787604332,405
YS Samra,1.554663710296154,322
DJ Malan,1.5508125014603138,1397
Saad Bin Zafar,1.5497356159321498,371
Mohammad Nawaz,1.5349167781532742,561
V Saini,1.5245994478755165,1051
YS Chauhan,1.5236731097102165,441
BJ Bennett,1.5219791196286678,1200
PR Surve,1.5197341219172813,807
E Beukes,1.5130717130377889,418
RM Patidar,1.5084957480430603,1003
Zeeshan Kukikhel,1.501974083512323,430
Naseem Khushi,1.5000761495903134,375
MD Shanaka,1.495062328845961,1579
Haider Butt,1.491793120309012,1077
A Vala,1.4867230160161853,1147
BB McCullum,1.4798769606277347,3684
M Shahrukh Khan,1.4739069189672591,538
AK Markram,1.4605823866440915,2521
Raghav Dhawan,1.456035953015089,474
MS Dhoni,1.4302217973745428,5351
MPGT Ketiyage,1.4267249666154385,544
Muhammad Usman,1.4072181312658358,807
MTMMJ Ave,1.3946383483707905,469
Muhammad Asim,1.3883384159125853,668
Sulaimon Runsewe,1.3825758155144285,1251
CA Lynn,1.3598977671936154,1094
G Mckeon,1.349420165643096,658
P Pushparajan,1.3455112986557651,389
Priyansh Arya,1.3380566276609898,420
Fiaz Ahmed,1.327506309375167,1247
Shaheryar Butt,1.3168871207453776,538
MR Swart,1.3047821819782257,472
VP Thamotharam,1.2954159052751493,858
Hamza Dar,1.284420408308506,460
G Singh,1.2815715800970793,371
R Sandaruwan,1.272929958999157,1117
HC Brook,1.2695444514974952,1053
A Johnson,1.2659811498597264,595
N Davin,1.255092278122902,673
T Sandeep,1.2494807605980895,300
P Simran Singh,1.249270192347467,1130
MD Patel,1.2489181775599718,660
B Niaz,1.2484780550003052,513
Saim Ayub,1.2364936610683799,901
K Motlanka,1.2326588332653046,1178
LF Muller,1.2317766128398944,381
BJ Hodge,1.2104649161628913,1271
Umar Akmal,1.1995012071274687,1376
GD Phillips,1.1963471034832764,1587
B George,1.1951309032738209,519
Umar Adam,1.1770237991877366,473
D Gumyusenge,1.1759152011945844,424
CO Obuya,1.1687643789045978,1170
SP Narine,1.1573484874679707,1297
JJ Huo,1.1557404715567827,500
G Gambhir,1.147631173953414,4193
M Akayezu,1.1461469838686753,413
T Jamtsho,1.1386332260735799,476
KS Leverock,1.1280042510479689,461
DM Nakrani,1.123754289932549,788
B Bhandari,1.0878077633969951,314
VD Adewoye,1.0784950870729517,388
Ravinderpal Singh,1.0764933954924345,453
Shaiman Anwar,1.071564202196896,535
C Munro,1.0641703577712178,1215
D Doyle-Calle,1.0621595364063978,482
H Deshan,1.039890494197607,335
KR Mayers,1.030732716433704,813
Razmal Shigiwal,1.0243910420977045,607
B Sai Sudharsan,1.0196559457399417,1707
MP O'Dowd,1.0146635016426444,1904
Towhid Hridoy,1.0100925238220952,940
SR Mukkamalla,1.00358210131526,446
GR Adair,1.0029415302269626,330
TP Visee,1.0024022832512856,339
VS Padhaal,0.992716901935637,546
Karan KC,0.9914425843744539,324
AJ Mosca,0.9792467802762985,419
T Banton,0.9735076474025846,390
