bowler,season,clutch,balls
JJ Bumrah,2024,3.4600245682522655,483
M Muralitharan,2009,2.866645807400346,469
B Kumar,2026,2.731959014199674,367
Ali Dawood,2025/26,2.550393304787576,387
SP Narine,2013,2.3456238880753517,436
SL Malinga,2009,2.3361420287110377,566
A Kumble,2009,2.330275796353817,358
SP Narine,2012,2.303706806123955,431
JJ Bumrah,2019,2.0349470376968384,378
YS Chahal,2022,1.9926458057016134,721
DW Steyn,2012,1.9549810588359833,313
Ali Dawood,2025,1.947688428685069,320
BAW Mendis,2009,1.921465995721519,305
R Ashwin,2015/16,1.82933887001127,375
PP Ojha,2009,1.8266745638102293,393
JR Hazlewood,2025,1.8132480578497052,342
T Shamsi,2021,1.7647325973957777,355
MR Adair,2019/20,1.7481787214346696,306
Mustafizur Rahman,2025,1.7255720309913158,340
SL Malinga,2011,1.6894518714398146,421
TA Boult,2020/21,1.6831787983246613,520
A Nehra,2015,1.6670219982042909,385
Rashid Khan,2018,1.6002019345760345,436
Sohail Tanvir,2007/08,1.5852680234238505,439
GD McGrath,2007/08,1.4997328221797943,317
Shahid Afridi,2007/08,1.4905092660337687,406
B Lee,2007/08,1.4606218533881474,318
Rizwan Butt,2024/25,1.452345714904368,556
SL Malinga,2012,1.4513967297971249,394
DW Steyn,2013,1.4425333235703874,419
Mohammed Siraj,2023,1.3904972495511174,329
Yasim Murtaza,2024,1.3618795676156878,351
MJ McClenaghan,2015,1.3533147033303976,374
JC Archer,2020/21,1.3364577591710258,543
M Morkel,2012,1.3345732828602195,403
SP Narine,2024,1.3283513495698571,334
SM Pollock,2007/08,1.3054060814902186,464
Muhammad Nadir,2024/25,1.2983063906431198,327
IK Pathan,2009,1.2881012028083205,308
Waqas Ahmad,2023,1.2867109710350633,359
Mustafizur Rahman,2021,1.276641353033483,545
Ali Dawood,2024/25,1.2631242172792554,439
Rashid Khan,2019,1.262303746305406,364
SP Narine,2026,1.2621926479041576,306
A Nortje,2021,1.2602635491639376,311
R Ashwin,2011,1.2519257068342995,394
Abrar Ahmed,2025/26,1.2362235225737095,338
IK Pathan,2007/08,1.2356431111402344,504
SP Narine,2022,1.2185330018110108,342
Ehsan Khan,2024,1.2183523206040263,348
Mohammed Shami,2023,1.2059644423425198,385
Mohammed Siraj,2026,1.2035210132598877,386
RA Jadeja,2023,1.198520696721971,306
Harbhajan Singh,2013,1.1974711725779343,430
F Banunaek,2025/26,1.192616584681673,307
Mohammad Nawaz,2025/26,1.1910759825259447,392
SW Tait,2009/10,1.1907617682300042,336
Shakib Al Hasan,2021,1.1900751078501344,446
Rashid Khan,2020/21,1.1813961965963244,387
Samiullah Rahmani,2026,1.1808635732159019,306
UT Yadav,2022,1.1742280758917332,309
Imran Tahir,2019,1.1638494869403075,388
JP Faulkner,2013,1.1597372684627771,444
Kuldeep Yadav,2025,1.1591138960793614,471
JJ Bumrah,2025,1.1590765668079257,378
B Kumar,2024,1.1404320495203137,357
R Ashwin,2019,1.1373387575149536,342
SP Narine,2014,1.1338724782690406,411
R Ashwin,2014,1.1259070858359337,403
A Mishra,2013,1.1213059779256582,376
A Mishra,2009/10,1.1195316798985004,329
DP Nannes,2009/10,1.1136854505166411,315
M Theekshana,2022,1.1102558001875877,386
Mohammed Shami,2022,1.0927623435854912,378
Ravi Bishnoi,2023,1.0881110448099207,411
Mustafizur Rahman,2016,1.0677823200821877,362
B Kumar,2015,1.067000170238316,345
A Nehra,2009,1.057034176774323,326
Mohammed Siraj,2021,1.0542611060664058,321
RP Singh,2007/08,1.0451154187321663,506
Harmeet Singh,2024,1.0441412208601832,394
B Kumar,2022,1.0439911233261228,704
P Kumar,2013,1.0336823109537363,354
B Kumar,2017,1.0121607724577188,366
AR Ramjani,2023,1.010786334052682,400
K Rabada,2022,1.0089160734787583,424
DJ Bravo,2021,1.0021711066074204,423
Umair Tariq,2025,0.9924814263358712,308
Harbhajan Singh,2011,0.9848350202664733,354
Umar Gul,2007/08,0.9798576151952147,366
KV Sharma,2014,0.9698486160486937,312
Rashid Khan,2022,0.9691290818154812,386
MG Johnson,2013,0.960704730823636,455
RE van der Merwe,2009,0.9594570100307465,356
Aqib Ilyas,2024,0.9520122865214944,370
JR Hazlewood,2022,0.9473079368763138,416
UT Yadav,2012,0.9452586881816387,403
S Lamichhane,2021/22,0.9452189691655803,315
R Ngarava,2023/24,0.9416061053052545,344
DR Sams,2022,0.929282708093524,307
TA Boult,2024,0.9241970489092637,405
S Yeshi,2025/26,0.9239465864375234,300
AR Patel,2023,0.9132969975471497,355
Kuldeep Yadav,2018,0.9101642239838839,393
DP Nannes,2009,0.9010911239020061,350
R Vinay Kumar,2013,0.8998841335996985,370
Arshdeep Singh,2025/26,0.8926525441347621,436
LH Ferguson,2022,0.8820960596203804,438
MM Sharma,2013,0.8741668639704585,311
UT Yadav,2018,0.8704114025458694,415
A Nortje,2020/21,0.8700592042587232,425
PWH de Silva,2025,0.863464861176908,372
K Waiswa,2023,0.8603530619293451,321
Rashid Khan,2023,0.8565557971596718,389
YS Chahal,2021,0.8555719032883644,348
Abdul Majid Abbasi,2024/25,0.8523764470592141,570
R Ashwin,2012,0.8471504095941782,446
B Kumar,2016,0.8344144113361835,420
Kuldeep Yadav,2024,0.8075840538367629,363
AR Patel,2017,0.7980228010565042,318
Imran Anwar,2024/25,0.7925304984382819,415
J Little,2021/22,0.7923562042415142,311
TA Boult,2021,0.7920510396361351,317
A Kumble,2009/10,0.7875945987179875,389
B Muzarabani,2025/26,0.783766741893487,314
JJ Bumrah,2020/21,0.7819935855804943,372
A Symonds,2009/10,0.7785872649110388,325
K Rabada,2024,0.7748709470033646,426
Ehsan Khan,2023/24,0.7663412597030401,381
Saad Bin Zafar,2024,0.7590171825140715,310
Zabiullah Zahid,2026,0.7456790311262012,422
M Theekshana,2022/23,0.7417228519916534,310
SL Malinga,2009/10,0.7415582789108157,350
DJ Bravo,2015,0.7403758075088263,324
Harbhajan Singh,2009,0.7314745634794235,390
Aqib Iqbal,2025,0.7279506595805287,502
SL Malinga,2013,0.7253877315379214,452
Yasin Patel,2024,0.7233148115337826,338
DL Vettori,2011,0.7217025719583035,312
Pavandeep Singh,2024,0.7130634970963001,352
JJ Bumrah,2018,0.7128360765054822,358
RD Chahar,2019,0.7087183818221092,305
JJ Bumrah,2017,0.7011018488556147,391
AR Patel,2020/21,0.6997992135584354,326
RA Jadeja,2021,0.6966152125969529,300
SM Curran,2020/21,0.6965715438127518,382
SR Watson,2007/08,0.689320819452405,365
P Kumar,2016,0.6889745518565178,319
Ahmadullah Shinwari,2025,0.687865886837244,330
MS Gony,2007/08,0.6847377419471741,347
Rashid Khan,2017,0.6822385611012578,314
DJ Hawoe,2024/25,0.6820041127502918,317
B Kumar,2023,0.680749441467924,319
DS Kulkarni,2016,0.6749177696183324,347
AR Patel,2022,0.6727173998951912,475
CV Varun,2025,0.6661602118983865,416
RA Jadeja,2015/16,0.6508290618658066,335
S Sreesanth,2007/08,0.6507786288566422,503
YS Chahal,2019,0.6485634166747332,306
DW Steyn,2009/10,0.6478790231049061,407
MM Patel,2011,0.6471388116187882,377
Sandeep Sharma,2015,0.6462423354387283,358
DJ Bravo,2013,0.6386963836266659,416
Z Khan,2012,0.6339089172251988,395
HV Patel,2021,0.6187343699857593,361
CV Varun,2020/21,0.6153242652944755,313
RP Singh,2009,0.6065119886770844,412
CV Varun,2021,0.600714512198465,486
R Ashwin,2013,0.5935251442715526,354
Arshdeep Singh,2022,0.5907758334942628,543
Arshdeep Singh,2026,0.5886112591251731,488
JJ Bumrah,2025/26,0.5883417585864663,408
PP Ojha,2013,0.583708374761045,318
SP Narine,2019,0.5739459674805403,321
Harbhajan Singh,2009/10,0.5732254031754564,334
AR Patel,2024,0.5704427724413108,407
SL Malinga,2015,0.5641720052808523,428
M Muralitharan,2007/08,0.5624518124386668,345
JO Holder,2025,0.557949138834374,355
Aizaz Khan,2019/20,0.5572536484978627,331
P Kumar,2012,0.552261596545577,395
Kuldeep Yadav,2017,0.5512798875570297,301
