bowler,clutch,balls
SP Narine,15.119617064425256,5534
B Kumar,13.308354929060442,6367
JJ Bumrah,11.908488472778117,5653
SL Malinga,9.273482864751713,4764
R Ashwin,7.850214255973697,6113
DW Steyn,7.451316537364619,3210
Rashid Khan,6.879670693568187,3638
Mustafizur Rahman,6.114995626732707,3962
S Lamichhane,5.97031244635582,1885
Harbhajan Singh,5.73018861465971,4097
Imad Wasim,5.570102320052683,1444
AR Patel,5.534699661657214,5322
PWH de Silva,5.4025928358896635,2710
Ali Dawood,5.1226803846948314,1541
TG Southee,4.8782661175355315,3847
F Nsubuga,4.851131009927485,1160
JR Hazlewood,4.840862135402858,2438
Shakib Al Hasan,4.765412882872624,3809
Bilal Khan,4.713266594364541,1488
M Muralitharan,4.510740152531071,1794
CV Varun,4.5073820091784,3157
RE van der Merwe,4.434195743029704,1714
Pavandeep Singh,4.312033818103373,1979
Saeed Ajmal,4.262139378115535,1457
DS Airee,4.0745615996129345,1253
Kuldeep Yadav,3.99301999527961,3338
DM Nakrani,3.57711392827332,1320
Muhammad Nadir,3.537806904845638,1311
MJ Santner,3.5026032999448944,3439
Imran Tahir,3.43682502763113,2172
N Senamontree,3.415556917869253,1156
Z Khan,3.400740921526449,2571
S Badree,3.3865741956979036,1232
J Coetzee,3.2288908269256353,543
R Ngarava,3.22061305490206,1835
A Zampa,3.1896760826930404,2835
Ehsan Khan,3.145162645698292,2258
A Kumble,3.141413204371929,983
GH Dockrell,3.128757855913136,1289
Amjad Sher,3.109957071952522,890
AJ Hosein,3.0434019789099693,2145
BM Scholtz,3.023812259460101,1620
MR Adair,3.021368009096477,2051
AR Ramjani,3.0065397154539824,1164
PP Chawla,2.9798907954245806,3931
DL Vettori,2.9365133885585237,1551
DP Nannes,2.880856235482497,1047
M Theekshana,2.8011590903624892,2680
Shoaib Rafiq,2.798300520546036,361
Mohammad Kamran,2.7644239710643888,450
Mohammad Amir,2.7596890888817143,1352
T Shamsi,2.7220218348957133,1573
U Shantu,2.6824846817180514,408
S Ravichandran,2.6693586511537433,894
Yasim Murtaza,2.6425004816264845,1557
Vraj Patel,2.628921532072127,1157
YS Chahal,2.5370364636473823,5894
C Hinze,2.5141153540171217,727
TA Boult,2.4990175795101095,4120
D Maisuria,2.476439232006669,730
M Koli,2.465111458674073,924
Aqib Iqbal,2.4564760765060782,1432
BJ Currie,2.426361142657697,456
CW Perchard,2.4189715161919594,941
B Muzarabani,2.4153612741210964,1744
MJ McClenaghan,2.396949711284833,1900
S Gill,2.3675068691081833,438
Haider Ali,2.306081431917846,533
Sohail Tanvir,2.3032569271163084,1485
Yuvraj Singh,2.2978483205661178,1270
A Mishra,2.282984236255288,3599
Saad Bin Zafar,2.2649732772551943,1308
Zahoor Khan,2.2631197022856213,1035
MRJ Watt,2.26014080827008,1640
Shaheen Shah Afridi,2.2244449798599817,2157
RA Jadeja,2.20656730979681,5572
Virandeep Singh,2.1954983453906607,1689
DE Bollinger,2.1734579717740417,790
Atif Mehmood,2.159050650894642,470
J Botha,2.1589387767016888,1418
NT Ellis,2.1162117039202712,1202
SA Okpe,2.0884948252059985,1246
S Vijay Unni,2.042505005345447,1344
LH Ferguson,2.0271226931654382,2229
MA Starc,2.022485700377729,2613
A Kirschbaum,2.013222938403487,594
GP Swann,1.9830942582921125,727
SVE Bharathi,1.9730603769712616,689
WB Rankin,1.9208427490666509,879
Joshua Asia,1.9066178016364574,422
MG Erasmus,1.8835730962164234,1072
AU Rashid,1.8754975935735274,2983
LJ Myott,1.8399091381579638,450
PA van Meekeren,1.8338861427328084,1531
G Sesay,1.8330783192068338,555
H Rathod,1.828855169005692,377
Junaid Khan,1.8244025400199462,665
Arshdeep Singh,1.8242796612612437,3955
H Carlyon,1.8138482505455613,393
SE Bond,1.8108022399246693,632
Rizwan Butt,1.7762423064559698,1870
Ashwin Vinod,1.7607680028304458,588
H Fennell,1.754509157501161,652
Umar Gul,1.7544508064165711,1370
Mohammad Naveed,1.7486892659508158,511
Raja Adeel,1.730598240159452,595
A Vala,1.7248908588662744,599
KDA Lukies,1.7025765618309379,654
BAW Mendis,1.7006000746041536,1065
G Motie,1.6925142919644713,848
P Kumar,1.6925016166642308,2747
Sirajullah Khadim,1.6914801690727472,667
Yasin Patel,1.677948612777982,1198
Sahel Zadran,1.677008560858667,691
SO Ngoche,1.659849064424634,1586
Kaleem Sana,1.6485193195112515,918
PP Ojha,1.6448110593482852,2072
PK Matautaava,1.6408210415393114,439
Mohammad Nawaz,1.6370428837835789,1198
B Ito-Davis,1.6296041048772167,341
E Sebareme,1.6278309282206465,754
AJ Parmar,1.6226888018718455,443
LA Dawson,1.6124323531985283,547
WPUJC Vaas,1.610254972241819,397
Mohammed Siraj,1.597962140076561,3142
Aqib Ilyas,1.5977927232161164,702
OEG Baartman,1.5963216870441101,447
Dawood Ahmadzai,1.594554467126727,895
Abrar Ahmed,1.5944935996085405,799
Adam Senn,1.572491536848247,422
Washington Sundar,1.5620162562117912,2159
Aayan Afzal Khan,1.5601879032328725,609
Yasir Ali,1.5577656794339418,664
IK Gamantika,1.5436083050444722,1068
Abdul Samad,1.5373928137123585,385
C Bosch,1.532033714465797,613
K Thuchila,1.5308226151682902,404
FJ Klaassen,1.5226175934367348,882
C Rumistrzewicz,1.5080839013680816,556
P Kumbhare,1.5053936448239256,374
LH Rodrigues,1.502235728316009,473
GD McGrath,1.4982718974351883,366
DL Brangman,1.4904536650865339,718
A Wright,1.476849788799882,528
OH Agbomadzie,1.4755583107471466,739
A Natubhai Ahir,1.4621763340837788,409
