batter,season,clutch,balls
DA Warner,2016,3.272018253803253,575
V Suryavanshi,2026,2.9780625849962234,344
ML Hayden,2009,2.5448331385850906,351
RR Pant,2019,2.3395483400672674,307
AB de Villiers,2016,2.1679148599505424,413
GJ Maxwell,2014,2.133843496441841,312
SS Iyer,2025,2.131730154156685,344
RV Uthappa,2014,2.027897819876671,485
CH Gayle,2015,1.9535160306841135,339
SA Yadav,2020/21,1.9282180964946747,340
MEK Hussey,2013,1.913926050066948,580
SS Iyer,2026,1.850883866660297,306
G Gambhir,2012,1.827687069773674,429
R Parag,2024,1.7103157714009285,407
V Kohli,2026,1.695736140012741,423
P Simran Singh,2026,1.6504932614043355,316
Shubman Gill,2023,1.6160135567188263,562
CH Gayle,2012,1.6151128038764,472
KL Rahul,2018,1.6117729600518942,398
RR Pant,2018,1.5986159332096577,364
GJ Maxwell,2021,1.5825382769107819,373
CH Gayle,2011,1.5291279563680291,330
DR Smith,2014,1.5111251352354884,425
RK Singh,2023,1.482520711608231,329
JP Duminy,2014,1.430091523565352,306
SR Watson,2013,1.4173159841448069,393
JC Buttler,2018,1.3965871147811413,319
Ishan Kishan,2026,1.3840151503682137,342
SK Raina,2017,1.3741815630346537,310
AM Rahane,2015,1.3710929993540049,423
YBK Jaiswal,2023,1.3182492107152939,397
Shubman Gill,2026,1.2967499820515513,472
S Dhawan,2020/21,1.2852743556722999,433
H Klaasen,2026,1.2780212983489037,413
CH Gayle,2013,1.2702435851097107,478
DA Warner,2019,1.2616782784461975,496
V Sehwag,2012,1.2300483798608184,317
F du Plessis,2021,1.219355434179306,471
Abhishek Sharma,2026,1.2122018858790398,304
RG Sharma,2009/10,1.2083849664777517,310
SR Tendulkar,2009/10,1.202732004225254,489
SE Marsh,2007/08,1.190164253115654,447
PP Shaw,2021,1.1424661874771118,308
CH Gayle,2019,1.1401517298072577,338
AJ Finch,2016,1.1268555521965027,311
MA Agarwal,2021,1.0939311236143112,324
SC Ganguly,2007/08,1.082964800298214,316
TM Dilshan,2009,1.0701935440301895,357
SR Watson,2018,1.05734284222126,368
V Kohli,2024,1.0295532857999206,497
MR Marsh,2026,1.018736956641078,300
V Kohli,2013,1.0155123323202133,469
KD Karthik,2018,1.014530669868691,319
Q de Kock,2016,0.9961199732497334,332
M Vijay,2009/10,0.9954224023676943,305
V Sehwag,2014,0.9923904240131378,334
V Kohli,2016,0.970403790473938,604
SK Raina,2014,0.9701088098809123,370
RD Gaikwad,2024,0.9679495542950463,425
F du Plessis,2023,0.9342435114085674,483
TM Head,2024,0.9285217225551605,307
DPMD Jayawardene,2009/10,0.9149402780458331,310
B Sai Sudharsan,2025,0.912802114180522,504
DA Miller,2022,0.9055187944322824,348
SA Yadav,2025,0.9035204276442528,415
DA Warner,2014,0.8989465236663818,375
DA Warner,2017,0.8893975019454956,427
ST Jayasuriya,2007/08,0.8758546384051442,333
MK Pandey,2014,0.8752579689025879,356
CL White,2012,0.8692173212766647,327
SPD Smith,2017,0.8617690205574036,400
RG Sharma,2009,0.8435691716149449,323
B Sai Sudharsan,2024,0.831997387111187,388
S Dhawan,2021,0.819798469543457,478
Q de Kock,2022,0.8058405127376318,350
KL Rahul,2025,0.800842821598053,352
Q de Kock,2020/21,0.7945448532700539,365
V Kohli,2019,0.7801533211022615,325
PC Valthaty,2011,0.763079334050417,351
SV Samson,2024,0.7517138496041298,367
MR Marsh,2025,0.7436488475650549,401
SK Raina,2007/08,0.7122672908008099,304
SR Watson,2007/08,0.7082658791914582,322
SR Tendulkar,2011,0.7006272785365582,511
AC Gilchrist,2009,0.6990711241960526,337
SE Marsh,2011,0.6814447985670995,349
EJG Morgan,2020/21,0.6781237888790201,312
RG Sharma,2016,0.6696554105728865,372
RD Gaikwad,2023,0.6683547049760818,395
SV Samson,2021,0.6642257086932659,372
SK Raina,2016,0.6603670865297318,321
MK Pandey,2017,0.6441062837839127,315
F du Plessis,2020/21,0.6406867606856395,329
AK Markram,2025,0.6406829170882702,306
DR Smith,2013,0.6358389258384705,351
JC Buttler,2022,0.6309285014867783,596
S Dhawan,2014,0.6225111186504364,324
YBK Jaiswal,2025,0.6160719245672226,359
S Dhawan,2019,0.6124617159366608,391
JC Buttler,2026,0.6017330633476377,352
SS Iyer,2020/21,0.5993683617271017,433
DA Miller,2014,0.5910425931215286,307
KL Rahul,2021,0.5623746514320374,465
Tilak Varma,2022,0.5452008321881294,313
G Gambhir,2017,0.5435038655996323,384
SA Yadav,2023,0.5424597524106503,340
