batter,clutch,balls
AB de Villiers,10.06069362256676,3411
CH Gayle,7.35333885345608,3367
V Sehwag,6.841394660063088,1787
JC Buttler,6.414273780741496,3131
KA Pollard,6.066829656192567,2433
AD Russell,5.772537648648722,1586
DA Warner,5.647012534522219,4697
SK Raina,5.403088898397982,4102
V Kohli,5.295536559104221,7022
RR Pant,5.237375224940479,2658
SA Yadav,4.855445164226694,3127
GJ Maxwell,4.78950065743993,1870
RG Sharma,4.467401477508247,5648
N Pooran,4.436060904583428,1571
YK Pathan,4.4294727221131325,2278
Shubman Gill,3.9699516631953884,3260
S Dhawan,3.751620229333639,5316
V Suryavanshi,3.6918114125728607,473
RV Uthappa,3.663390455796616,3874
SS Iyer,3.5942298276058864,3129
KD Karthik,3.5528526827692986,3603
MS Dhoni,3.437342472781893,4034
DR Smith,3.412935131258564,1803
DA Miller,3.002268208161695,2432
TH David,2.907081266894238,677
ML Hayden,2.86368864774704,780
Tilak Varma,2.8621220756031107,1336
YBK Jaiswal,2.786629215814173,1750
Q de Kock,2.6203115480020642,2555
H Klaasen,2.452516744757304,1313
RA Tripathi,2.3679638635658193,1687
PD Salt,2.273193506523967,746
MR Marsh,2.24043245986104,1233
F du Plessis,2.209366092487471,3573
JA Morkel,2.1825809674919583,673
N Rana,2.1560798259743024,2292
SR Watson,2.1345043312758207,2886
SR Tendulkar,2.079686541110277,2044
R Parag,2.025567464501364,1357
KL Rahul,1.8895096154883504,4241
R Tewatia,1.8734348770522047,986
Abhishek Sharma,1.7791763739369344,1471
SO Hetmyer,1.7070240825705696,1106
BJ Hodge,1.6912101329944562,1125
S Dube,1.68794777354924,1534
Ashutosh Sharma,1.6874959729902912,328
MEK Hussey,1.674013152718544,1612
JM Bairstow,1.6049988865852356,1181
SPD Smith,1.5994005985558033,1953
JP Duminy,1.5427726907655597,1617
RM Patidar,1.5084957480430603,1003
M Shahrukh Khan,1.4739069189672591,538
JP Inglis,1.4630234390497208,322
BA Stokes,1.4557222640141845,703
SV Samson,1.4504206385463476,3717
G Gambhir,1.4412320163100958,3419
CA Lynn,1.439653441309929,931
SP Narine,1.4211407797120046,1169
Priyansh Arya,1.3380566276609898,420
AT Rayudu,1.323443002125714,3482
SE Marsh,1.2817230606160592,1903
RD Gaikwad,1.2613390730402898,2138
P Simran Singh,1.249270192347467,1130
RD Rickelton,1.1823051273822784,511
E Lewis,1.12872880793293,499
