bowler,season,clutch,balls
B Kumar,2026,2.731959014199674,367
A Kumble,2009,2.330275796353817,358
JJ Bumrah,2024,2.285763713531196,328
JJ Bumrah,2019,2.0349470376968384,378
SP Narine,2012,1.9646110711619258,357
SP Narine,2013,1.8437308743596077,387
Rashid Khan,2018,1.702626794576645,411
A Nehra,2015,1.6670219982042909,385
TA Boult,2020/21,1.615431454993086,350
MJ McClenaghan,2015,1.557261487469077,305
YS Chahal,2022,1.5026150764897466,429
GD McGrath,2007/08,1.4997328221797943,317
M Morkel,2012,1.4897605320438743,389
SL Malinga,2011,1.4822692703455687,397
JC Archer,2020/21,1.45310610535671,345
DW Steyn,2013,1.4425333235703874,419
Mohammed Siraj,2023,1.3904972495511174,329
SP Narine,2024,1.3283513495698571,334
PP Ojha,2009,1.3128897584974766,327
SL Malinga,2012,1.3038389403373003,351
Rashid Khan,2019,1.262303746305406,364
SP Narine,2026,1.2621926479041576,306
SL Malinga,2009,1.2292453795962501,326
JP Faulkner,2013,1.2229672577232122,395
SP Narine,2022,1.2185330018110108,342
R Ashwin,2011,1.2078813761181664,342
Mohammed Shami,2023,1.2059644423425198,385
Mohammed Siraj,2026,1.2035210132598877,386
RA Jadeja,2023,1.198520696721971,306
Harbhajan Singh,2013,1.1974711725779343,430
Ravi Bishnoi,2023,1.1929538687400054,312
SL Malinga,2015,1.1817174386233091,378
Rashid Khan,2020/21,1.1813961965963244,387
R Ashwin,2014,1.1743908151984215,379
Imran Tahir,2019,1.1638494869403075,388
B Kumar,2024,1.1404320495203137,357
R Ashwin,2019,1.1373387575149536,342
A Mishra,2013,1.1213059779256582,376
A Mishra,2009/10,1.1195316798985004,329
B Kumar,2017,1.1139763686805964,318
Mohammed Shami,2022,1.0927623435854912,378
Mustafizur Rahman,2016,1.0677823200821877,362
A Nehra,2009,1.057034176774323,326
Mohammed Siraj,2021,1.0542611060664058,321
P Kumar,2013,1.0336823109537363,354
Kuldeep Yadav,2018,1.0067964643239975,306
MG Johnson,2013,0.9806323694065213,403
B Kumar,2022,0.9778314083814621,330
Rashid Khan,2022,0.9691290818154812,386
