bowler,clutch,balls
SP Narine,11.667031710967422,4583
B Kumar,10.162777593330247,4666
JJ Bumrah,6.951030028925743,3743
Rashid Khan,6.913110478781164,3516
SL Malinga,6.646226948156254,2974
R Ashwin,6.575830333866179,4737
DW Steyn,4.606501361384289,2228
YS Chahal,4.5625528413802385,4117
Harbhajan Singh,3.9440416292927694,3496
M Muralitharan,3.376415281527443,1528
A Kumble,3.141413204371929,983
AR Patel,3.1076483335345984,3600
Kuldeep Yadav,2.9593632528558373,2317
PP Chawla,2.5379501450806856,3793
Z Khan,2.49080002590199,2237
RA Jadeja,2.2069953363388777,4281
DP Nannes,1.9057526690594386,668
TA Boult,1.833768636919558,2800
CV Varun,1.8262641569890548,2138
MJ McClenaghan,1.806081728078425,1346
DE Bollinger,1.775131850503385,576
P Kumar,1.699377124197781,2619
JR Hazlewood,1.692366052448051,1187
Mohammed Siraj,1.5428415117494296,2816
GD McGrath,1.4997328221797943,317
KH Pandya,1.476974324323237,2754
Yuvraj Singh,1.4673953270539641,869
A Mishra,1.4223638931289315,3390
IK Pathan,1.3564681829884648,2014
DJ Bravo,1.3513940125121735,3296
Ravi Bishnoi,1.2978657567873597,1857
M Morkel,1.2625088030472398,1656
R Sharma,1.2603609645739198,929
DL Vettori,1.2284592594951391,767
A Nehra,1.1246009478345513,1952
TG Southee,1.0854141069576144,1193
PP Ojha,1.0774381617084146,1945
MM Patel,1.0584678826853633,1382
SK Warne,1.0418206928297877,1223
Mohsin Khan,1.0082374289340805,678
KV Sharma,1.002994276554091,1568
L Ngidi,0.9686025939881802,645
JC Archer,0.9460155498527456,1638
DR Sams,0.9108280073851347,389
NM Coulter-Nile,0.9058255394920707,849
R Bhatia,0.833429856254952,1624
Imran Tahir,0.8293209541297983,1333
YK Pathan,0.7682068757712841,1141
MF Maharoof,0.7387886960059404,435
Mujeeb Ur Rahman,0.7303443998098373,440
SK Trivedi,0.695877636782825,1557
KW Richardson,0.6514666527509689,345
Shakib Al Hasan,0.6348588867112994,1497
E Malinga,0.6310434229671955,492
MJ Santner,0.5915456786751747,704
K Gowtham,0.5863145422190428,581
Azhar Mahmood,0.5497173871845007,552
SW Tait,0.5318929990753531,534
R Dhawan,0.5200429791584611,687
PV Tambe,0.46222295705229044,656
Mustafizur Rahman,0.4603318367153406,1405
M Pathirana,0.4460008954629302,749
S Nadeem,0.3807100858539343,1414
P Awana,0.3491984158754349,774
A Zampa,0.331895524635911,444
AD Mascarenhas,0.3189684748649597,310
KK Cooper,0.28158041555434465,600
JP Behrendorff,0.26629930455237627,379
RE van der Merwe,0.21129439771175385,455
Sandeep Sharma,0.18806369884987362,3273
CH Morris,0.18083290848881006,1762
UT Yadav,0.16139916889369488,3104
AS Roy,0.16029826179146767,351
Naveen-ul-Haq,0.15728888101875782,407
Harshit Rana,0.14195797871798277,667
MR Marsh,0.13867309596389532,556
SB Jakati,0.11643628869205713,1059
A Symonds,0.10187964138458483,540
KK Ahmed,0.09039491318981163,1741
MM Ali,0.06977573595941067,845
NT Ellis,0.06626638397574425,370
Bipul Sharma,0.05794765055179596,422
R Sai Kishore,0.050133563578128815,452
RD Chahar,0.033646928175585344,1716
Iqbal Abdulla,0.021294930949807167,900
C Sakariya,0.020683608949184418,460
PWH de Silva,0.007325454615056515,808
S Sreesanth,0.003519751102430746,900
R Vinay Kumar,-0.032049558125436306,2161
Abhishek Sharma,-0.033981431275606155,368
A Singh,-0.04967664647847414,486
B Lee,-0.05504973974893801,873
STR Binny,-0.05702015943825245,581
MC Henriques,-0.06493724044412374,910
R Tewatia,-0.06996377932955511,841
S Gopal,-0.07024652510881424,982
MG Johnson,-0.0783760026388336,1297
M Kartik,-0.08686985727399588,1176
AB Dinda,-0.1105763204395771,1463
Harmeet Singh,-0.13515746034681797,574
Noor Ahmad,-0.16706728097051382,1120
AC Thomas,-0.17072276584804058,309
J Botha,-0.18332968093454838,684
JO Holder,-0.18354207466472872,1285
M Theekshana,-0.18929476384073496,854
DS Rathi,-0.20373581908643246,536
A Nortje,-0.2168374574102927,1169
Umran Malik,-0.21817934047430754,519
VRV Singh,-0.21865515131503344,340
GB Hogg,-0.24047967419028282,466
LR Shukla,-0.24237449656357057,310
RG Sharma,-0.25061770805041306,349
Shivam Mavi,-0.25346810652990825,667
M Markande,-0.25721462443470955,768
VY Mahesh,-0.27615804225206375,346
MA Starc,-0.27835076209157705,1203
Yash Dayal,-0.2880563586950302,920
PJ Sangwan,-0.3328145118430257,886
AS Joseph,-0.33291398736764677,454
SK Raina,-0.33428324200212955,918
A Kamboj,-0.33778790291398764,513
GJ Maxwell,-0.363389540463686,1041
Azmatullah Omarzai,-0.36495786905288696,369
LH Ferguson,-0.391615452215774,1145
ST Jayasuriya,-0.39215078577399254,301
Navdeep Saini,-0.4015346122905612,689
LS Livingstone,-0.43154735772986896,321
RP Meredith,-0.4400038467720151,415
Rasikh Salam,-0.4747045002877712,492
CR Woakes,-0.4776886254257988,463
RJ Harris,-0.4957388024777174,865
BA Bhatt,-0.5024992944672704,303
AN Ahmed,-0.54152712225914,362
PVD Chameera,-0.5576297929510474,407
Vijaykumar Vyshak,-0.5647842763282824,550
JR Hopes,-0.5785571914166212,363
Yash Thakur,-0.5793935488618445,501
